PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,Pollutant,Releases
2025/12/15,France,2009,2,Production and processing of metals,Nickel and compounds (as Ni),7900.400000000001
2025/12/15,Denmark,2023,5,Waste and wastewater management,Zinc and compounds (as Zn),11950.810000000001
2025/12/15,Switzerland,2021,4,Chemical industry,Chromium and compounds (as Cr),24.36
2025/12/15,Poland,2008,2,Production and processing of metals,Phenols (as total C),166.39999999999998
2025/12/15,France,2014,1,Energy sector,Toluene,50.7
2025/12/15,Finland,2020,2,Production and processing of metals,Zinc and compounds (as Zn),2351
2025/12/15,Belgium,2020,5,Waste and wastewater management,Total organic carbon(as total C or COD/3) (TOC),6833415.2
2025/12/15,Italy,2023,5,Waste and wastewater management,Trichloroethylene (TRI),1219.4739
2025/12/15,Italy,2023,5,Waste and wastewater management,Endosulphan,28.5974
2025/12/15,Denmark,2023,5,Waste and wastewater management,Chlorides (as total Cl),35663470.916999996
2025/12/15,Poland,2022,5,Waste and wastewater management,Cadmium and compounds (as Cd),385.28
2025/12/15,France,2015,6,Paper and wood production and processing,Trichloromethane,83.6
2025/12/15,Italy,2017,5,Waste and wastewater management,Total organic carbon(as total C or COD/3) (TOC),25420900
2025/12/15,Switzerland,2016,5,Waste and wastewater management,Lead and compounds (as Pb),93
2025/12/15,Denmark,2024,4,Chemical industry,Nickel and compounds (as Ni),35.6
2025/12/15,Estonia,2021,5,Waste and wastewater management,Total phosphorus,9780
2025/12/15,Denmark,2022,5,Waste and wastewater management,PCDD + PCDF (dioxins + furans) (as Teq),0
2025/12/15,Spain,2018,2,Production and processing of metals,Chromium and compounds (as Cr),461.7
2025/12/15,Switzerland,2018,5,Waste and wastewater management,Copper and compounds (as Cu),1004.38
2025/12/15,United Kingdom,2011,4,Chemical industry,Benzene,2610
2025/12/15,Italy,2008,9,Other activities,Lead and compounds (as Pb),119.00000000000001
2025/12/15,Italy,2023,5,Waste and wastewater management,Nonylphenol and Nonylphenol ethoxylates,213.10000000000002
2025/12/15,United Kingdom,2012,5,Waste and wastewater management,Total nitrogen,115487000
2025/12/15,Poland,2019,5,Waste and wastewater management,Zinc and compounds (as Zn),52990
2025/12/15,Czechia,2008,5,Waste and wastewater management,Hexachlorobutadiene (HCBD),2.06
2025/12/15,France,2010,6,Paper and wood production and processing,Halogenated organic compounds (as AOX),250520
2025/12/15,Spain,2011,1,Energy sector,Cadmium and compounds (as Cd),21.41
