PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,Pollutant,Releases
2025/12/15,Luxembourg,2023,2,Production and processing of metals,Polychlorinated biphenyls (PCBs),0.5
2025/12/15,United Kingdom,2011,8,Animal and vegetable products from the food and beverage sector,Sulphur oxides (SOX),1141000
2025/12/15,Italy,2011,9,Other activities,Benzene,1840
2025/12/15,Austria,2007,1,Energy sector,Carbon dioxide (CO2),12196000000
2025/12/15,Czechia,2021,,,Chlorine and inorganic compounds (as HCl),314.2681
2025/12/15,Slovenia,2018,2,Production and processing of metals,Fluorine and inorganic compounds (as HF),29789
2025/12/15,Austria,2013,1,Energy sector,Sulphur oxides (SOX),704000
2025/12/15,Italy,2009,6,Paper and wood production and processing,Mercury and compounds (as Hg),136
2025/12/15,Belgium,2015,4,Chemical industry,Hydrogen cyanide (HCN),472
2025/12/15,United Kingdom,2016,2,Production and processing of metals,Sulphur hexafluoride (SF6),1130
2025/12/15,Sweden,2024,4,Chemical industry,Ammonia (NH3),12000
2025/12/15,Czechia,2022,2,Production and processing of metals,PCDD + PCDF (dioxins + furans) (as Teq),0.00383
2025/12/15,Czechia,2017,9,Other activities,Tetrachloroethylene,4830
2025/12/15,Bulgaria,2019,7,Intensive livestock production and aquaculture,Nitrous oxide (N2O),46945
2025/12/15,Belgium,2017,8,Animal and vegetable products from the food and beverage sector,Hydro-fluorocarbons (HFCS),436
2025/12/15,Portugal,2022,6,Paper and wood production and processing,Ammonia (NH3),559800
2025/12/15,Greece,2014,9,Other activities,Non-methane volatile organic compounds (NMVOC),231000
2025/12/15,Germany,2013,5,Waste and wastewater management,Hydrochlorofluorocarbons (HCFCs),19.25
2025/12/15,France,2015,3,Mineral industry,Anthracene,62.7
2025/12/15,Bulgaria,2019,4,Chemical industry,Nitrous oxide (N2O),288549
2025/12/15,Lithuania,2010,8,Animal and vegetable products from the food and beverage sector,Particulate matter (PM10),57100
2025/12/15,Poland,2024,6,Paper and wood production and processing,Chlorine and inorganic compounds (as HCl),72400
2025/12/15,Sweden,2007,6,Paper and wood production and processing,Cadmium and compounds (as Cd),21.5
2025/12/15,France,2019,6,Paper and wood production and processing,Mercury and compounds (as Hg),75.699998
2025/12/15,Spain,2022,5,Waste and wastewater management,Chromium and compounds (as Cr),225
2025/12/15,Spain,2010,4,Chemical industry,Ethylene oxide,3190
2025/12/15,Finland,2022,1,Energy sector,Zinc and compounds (as Zn),1696
2025/12/15,Sweden,2016,3,Mineral industry,Carbon monoxide (CO),5940000
2025/12/15,United Kingdom,2016,9,Other activities,Toluene,91700
2025/12/15,Croatia,2016,3,Mineral industry,Arsenic and compounds (as As),60.3
2025/12/15,Poland,2016,8,Animal and vegetable products from the food and beverage sector,Polycyclic aromatic hydrocarbons (PAHs),487
2025/12/15,Norway,2008,2,Production and processing of metals,Non-methane volatile organic compounds (NMVOC),185000
2025/12/15,Switzerland,2015,4,Chemical industry,Halons,12
2025/12/15,Finland,2008,4,Chemical industry,Dichloromethane (DCM),2000
2025/12/15,Norway,2012,4,Chemical industry,Fluoranthene,10
2025/12/15,Norway,2008,4,Chemical industry,Non-methane volatile organic compounds (NMVOC),1593000
2025/12/15,Switzerland,2015,1,Energy sector,Carbon dioxide (CO2),464000000
2025/12/15,Czechia,2007,2,Production and processing of metals,Hydrochlorofluorocarbons (HCFCs),60
2025/12/15,Greece,2008,1,Energy sector,Methane (CH4),471000
2025/12/15,Cyprus,2020,1,Energy sector,Sulphur oxides (SOX),10060000
2025/12/15,Spain,2010,4,Chemical industry,Zinc and compounds (as Zn),8670
2025/12/15,Ireland,2017,5,Waste and wastewater management,Carbon dioxide (CO2),706000000
2025/12/15,Italy,2018,9,Other activities,Sulphur hexafluoride (SF6),1603
2025/12/15,France,2011,4,Chemical industry,Chromium and compounds (as Cr),275
2025/12/15,Belgium,2008,1,Energy sector,Mercury and compounds (as Hg),11.6
2025/12/15,Switzerland,2018,3,Mineral industry,Chlorine and inorganic compounds (as HCl),13200
2025/12/15,Poland,2012,9,Other activities,Benzene,2860
2025/12/15,United Kingdom,2017,9,Other activities,Benzene,1700
2025/12/15,Greece,2021,6,Paper and wood production and processing,Particulate matter (PM10),57000
2025/12/15,Belgium,2024,8,Animal and vegetable products from the food and beverage sector,Carbon dioxide (CO2),147000000
2025/12/15,Denmark,2018,8,Animal and vegetable products from the food and beverage sector,Hydro-fluorocarbons (HFCS),5.2
2025/12/15,Hungary,2010,5,Waste and wastewater management,Polychlorinated biphenyls (PCBs),0.241
2025/12/15,Slovakia,2018,3,Mineral industry,Chlorine and inorganic compounds (as HCl),16400
