country_code,nace_r2,year,dii_version,dii_high_share
PT,C,2023,3,0.1508
PT,C16-C18,2023,3,0.0929
PT,C19,2023,3,0.44439999999999996
PT,C20,2023,3,0.3689
PT,C22_C23,2023,3,0.22939999999999997
PT,C24_C25,2023,3,0.0916
RO,C,2023,3,0.052700000000000004
RO,C16-C18,2023,3,0.0574
RO,C19,2023,3,0.1578
RO,C20,2023,3,0.10679999999999999
RO,C22_C23,2023,3,0.0642
RO,C24_C25,2023,3,0.0305
RO,D35,2023,3,0.1691
RS,C,2023,3,0.09519999999999999
RS,C16-C18,2023,3,0.0149
RS,C19,2023,3,0.75
RS,C20,2023,3,0.2149
RS,C22_C23,2023,3,0.046099999999999995
RS,C24_C25,2023,3,0.0499
RS,D35,2023,3,0.0675
SE,C,2023,3,0.3757
SE,C16-C18,2023,3,0.34369999999999995
SE,C19,2023,3,0.6
SE,C20,2023,3,0.6068
SE,C22_C23,2023,3,0.40129999999999993
SE,C24_C25,2023,3,0.26689999999999997
SE,D35,2023,3,0.7102
SI,C,2023,3,0.20799999999999996
SI,C16-C18,2023,3,0.162
SI,C22_C23,2023,3,0.20489999999999997
SI,C24_C25,2023,3,0.12319999999999999
SI,D35,2023,3,0.8469
SK,C,2023,3,0.1152
SK,C16-C18,2023,3,0.044800000000000006
SK,C19,2023,3,0.3333
SK,C20,2023,3,0.1288
SK,C22_C23,2023,3,0.1125
SK,C24_C25,2023,3,0.0672
SK,D35,2023,3,0.12440000000000001
AT,C,2025,3,0.3876
AT,C16-C18,2025,3,0.3179
AT,C24_C25,2025,3,0.33759999999999996
BA,C,2025,3,0.2156
BE,C,2025,3,0.6412
BE,C19,2025,3,1.0
BE,D35,2025,3,0.8588
BG,C,2025,3,0.08109999999999999
BG,C16-C18,2025,3,0.0508
CY,C,2025,3,0.2288
CY,C16-C18,2025,3,0.078
CY,C20,2025,3,0.39629999999999993
CY,C22_C23,2025,3,0.1679
CY,C24_C25,2025,3,0.08529999999999999
CZ,C,2025,3,0.4153
CZ,C16-C18,2025,3,0.30079999999999996
CZ,C20,2025,3,0.5777
CZ,C22_C23,2025,3,0.46950000000000003
CZ,C24_C25,2025,3,0.35339999999999994
CZ,D35,2025,3,0.4029
DE,C,2025,3,0.37200000000000005
DE,C16-C18,2025,3,0.37699999999999995
DE,C19,2025,3,0.9348000000000001
DE,C20,2025,3,0.6264
DE,C22_C23,2025,3,0.3829
DE,C24_C25,2025,3,0.2988
DE,D35,2025,3,0.7468
DK,C,2025,3,0.6401
DK,C24_C25,2025,3,0.5614
EE,C,2025,3,0.31560000000000005
EE,C16-C18,2025,3,0.3063
EE,C19,2025,3,0.6667000000000001
EE,C20,2025,3,0.6583
EE,C22_C23,2025,3,0.4633
EE,C24_C25,2025,3,0.24630000000000002
EE,D35,2025,3,0.5232
EL,C,2025,3,0.20190000000000002
EL,C16-C18,2025,3,0.2727
EL,C20,2025,3,0.45099999999999996
EL,C22_C23,2025,3,0.2554
EL,C24_C25,2025,3,0.1433
EL,D35,2025,3,0.5128
ES,C,2025,3,0.36599999999999994
ES,C16-C18,2025,3,0.3246
ES,C19,2025,3,1.0
